company,year,sector,revenue,net_profit,total_assets,total_liabilities,current_assets,current_liabilities,ppe_net,capex,depreciation,interest_expense,ebitda,operating_cash_flow,net_debt,goodwill,intangibles
Stratus Grid Holdings Holdings,2010,Power,3311.54,339.46,10012.54,7795.32,2994.0,1804.11,4217.02,341.82,364.49,473.38,752.01,545.9,3913.14,258.23,292.01
Stratus Grid Holdings Holdings,2011,Power,3594.05,191.48,11024.12,8417.93,2084.14,3027.57,6579.89,491.47,472.44,410.64,981.95,793.76,4081.12,455.12,330.89
Stratus Grid Holdings Holdings,2012,Power,4042.96,384.04,12281.89,8460.61,2254.42,2664.8,6324.94,246.75,385.82,423.01,980.8,745.76,2996.75,34.21,411.44
Stratus Grid Holdings Holdings,2013,Power,3891.9,300.77,12900.97,9268.68,3296.06,3153.34,6553.12,457.3,618.58,574.57,872.55,808.55,4891.87,112.75,474.93
Stratus Grid Holdings Holdings,2014,Power,4569.18,452.58,12897.51,8797.77,2352.92,3442.03,7265.1,579.08,536.89,282.57,1462.14,1319.88,3404.38,416.19,352.84
Stratus Grid Holdings Holdings,2015,Power,4353.36,339.32,13381.04,8094.17,3654.18,2203.8,5370.62,604.54,483.1,446.96,1013.69,878.68,4383.74,168.01,465.34
Stratus Grid Holdings Holdings,2016,Power,4573.39,345.42,14804.3,8685.02,3249.7,2882.1,8357.01,473.26,536.37,296.31,984.91,678.12,3579.61,614.88,382.87
Stratus Grid Holdings Holdings,2017,Power,5186.09,543.17,15516.62,11928.62,2989.99,3197.23,9593.89,405.13,766.17,440.52,1230.7,814.26,4952.7,92.76,434.36
Stratus Grid Holdings Holdings,2018,Power,5625.4,614.36,16550.78,10984.6,3355.77,4246.32,9948.2,474.7,842.4,583.32,782.72,688.41,5772.47,365.07,337.51
Stratus Grid Holdings Holdings,2019,Power,5554.64,621.43,16695.85,10715.26,5323.29,3927.72,9125.77,431.92,826.68,469.36,1676.07,1122.06,4356.3,628.01,550.58
Stratus Grid Holdings Holdings,2020,Power,5653.4,464.01,18319.81,11354.96,3784.17,4000.39,9117.4,493.86,550.02,567.58,1211.3,833.08,6023.43,234.29,460.24
Stratus Grid Holdings Holdings,2021,Power,6772.39,484.77,18945.8,13289.29,3658.79,3096.8,8132.59,678.86,600.21,757.69,984.19,901.79,4723.83,757.61,276.53
Stratus Grid Holdings Holdings,2022,Power,7051.86,527.67,20768.16,15099.76,6574.88,5732.51,8672.35,442.03,829.74,975.24,1659.2,1302.13,4737.21,636.15,181.35
Stratus Grid Holdings Holdings,2023,Power,6937.4,516.67,21217.96,16449.26,4409.25,3920.11,10260.4,656.43,785.7,794.05,1863.09,1733.6,8540.23,747.52,597.81
Stratus Grid Holdings Holdings,2024,Power,7701.88,682.47,22677.67,12903.95,5468.48,4878.84,12903.58,707.65,1261.85,699.29,2275.78,1541.76,5853.9,772.12,502.28
Zephyr Power Co Ltd,1989,Power,2848.44,287.8,10327.7,7825.83,3294.3,2200.28,5635.34,262.08,536.83,272.73,531.37,458.55,2866.05,261.71,296.59
Zephyr Power Co Ltd,1990,Power,2838.39,298.84,10681.52,6308.12,2509.79,2155.98,4699.23,280.33,289.28,208.17,613.67,461.1,3171.89,332.21,359.59
Zephyr Power Co Ltd,1991,Power,3211.93,216.94,11103.78,7184.37,2116.96,2536.33,6432.51,425.61,591.51,222.98,722.42,480.2,3860.06,558.38,417.31
Zephyr Power Co Ltd,1992,Power,3478.98,201.09,12366.21,8115.9,2723.37,1981.3,5258.9,293.56,437.3,454.25,996.21,771.44,3601.48,299.29,67.73
Zephyr Power Co Ltd,1993,Power,3260.82,223.34,12663.59,7441.28,3213.48,1662.74,7615.59,372.41,749.79,306.21,846.61,581.85,2348.16,146.88,288.45
Zephyr Power Co Ltd,1994,Power,3925.29,347.72,13224.49,8936.49,3956.14,2537.09,8061.32,323.8,664.49,334.99,810.8,636.8,2826.98,689.4,179.63
Zephyr Power Co Ltd,1995,Power,3599.66,357.92,14762.98,9931.03,2846.04,3878.85,7929.43,422.65,582.63,381.3,373.22,278.14,4236.07,284.21,171.99
Zephyr Power Co Ltd,1996,Power,4027.01,312.32,15002.08,11570.59,4516.81,3734.95,8380.0,538.41,603.83,354.97,849.4,797.41,5175.32,775.79,485.17
Zephyr Power Co Ltd,1997,Power,4441.88,400.24,15988.94,9784.95,5102.14,3534.93,6920.16,555.0,441.57,448.29,1185.09,1062.64,3074.85,533.89,301.76
Zephyr Power Co Ltd,1998,Power,4774.46,135.32,15694.16,10830.13,4929.75,3711.34,7447.37,291.88,725.46,451.84,1109.76,892.73,4183.55,931.76,446.33
Zephyr Power Co Ltd,1999,Power,4864.81,480.44,17565.6,13120.21,4762.33,4130.05,9431.33,383.27,597.05,534.31,726.02,578.39,5153.3,245.24,549.65
Zephyr Power Co Ltd,2000,Power,4929.04,216.32,17726.71,11877.99,5543.42,2659.55,7135.54,311.85,459.9,436.67,1042.67,781.29,6180.57,0.15,663.63
Zephyr Power Co Ltd,2001,Power,5902.96,716.26,19655.4,12873.5,5081.74,4901.05,10603.07,505.72,1045.1,563.79,1844.68,1241.81,5157.0,54.21,298.71
Zephyr Power Co Ltd,2002,Power,6106.0,415.07,19819.01,15093.11,4376.03,3638.27,9210.46,584.58,870.7,569.63,1883.96,1591.07,5375.04,591.87,258.32
Zephyr Power Co Ltd,2003,Power,6384.59,634.78,21781.07,16511.65,6663.8,5548.38,12109.64,402.25,939.02,776.26,1561.45,1414.21,6049.07,166.29,788.23
Zephyr Power Co Ltd,2004,Power,7082.4,804.06,23851.04,17941.6,7026.2,6385.52,14307.96,770.4,892.35,1005.77,1167.86,939.13,9366.8,496.37,497.14
Zephyr Power Co Ltd,2005,Power,7030.05,687.88,22952.81,14823.97,5196.7,5108.68,11434.96,918.77,760.91,725.83,1482.85,1331.53,7042.08,587.97,891.87
Zephyr Power Co Ltd,2006,Power,6928.86,415.62,26080.72,16099.74,7816.89,6150.86,13005.77,498.28,1094.38,536.3,1895.77,1299.95,8769.72,25.74,228.02
Zephyr Power Co Ltd,2007,Power,8027.55,787.42,27451.15,20714.12,6712.25,6198.79,13911.75,871.06,1083.42,1027.08,2151.55,1579.55,10313.1,765.12,780.3
Zephyr Power Co Ltd,2008,Power,7683.82,615.47,26690.84,18919.09,6533.58,5859.59,13620.64,582.05,1001.35,714.47,1833.85,1469.53,6952.81,1421.66,184.16
Zephyr Power Co Ltd,2009,Power,8784.13,700.83,29312.23,17713.18,7596.34,4233.86,13344.26,762.24,952.86,644.69,1925.97,1506.22,5421.77,663.47,529.11
Zephyr Power Co Ltd,2010,Power,8671.59,799.62,31445.84,22710.45,8615.12,6087.73,14225.76,761.76,928.36,1383.51,2210.13,1813.41,12198.81,292.09,845.73
Zephyr Power Co Ltd,2011,Power,9384.45,630.13,31632.79,24273.26,6232.22,8027.59,18946.13,1306.99,1753.04,1219.99,1521.04,1196.65,10934.85,1880.58,205.87
Zephyr Power Co Ltd,2012,Power,9952.55,520.0,36842.84,22538.67,10703.98,8915.95,17174.39,1244.6,1255.16,1121.58,1607.07,1182.42,10575.14,247.3,1055.05
Zephyr Power Co Ltd,2013,Power,10159.44,499.64,35597.54,24349.99,7795.58,7659.32,19735.57,696.78,1491.21,1021.51,1663.6,1299.07,11755.43,122.55,724.63
Zephyr Power Co Ltd,2014,Power,12285.88,780.8,39213.47,29534.29,7213.02,9335.01,15701.47,986.75,1058.74,1423.85,2129.24,1770.67,12910.47,918.75,897.17
Zephyr Power Co Ltd,2015,Power,12507.89,1120.77,39786.45,23800.5,12109.7,8143.16,23979.2,1500.88,1672.6,1430.94,3543.3,3102.2,9692.85,2307.69,767.2
Zephyr Power Co Ltd,2016,Power,13418.9,201.28,44714.71,33735.14,10544.98,9232.5,24742.88,1233.23,2265.28,1404.61,3024.7,2437.31,12005.11,2476.93,1283.94
Zephyr Power Co Ltd,2017,Power,13402.84,730.08,44186.3,25660.62,11633.71,6605.86,23980.56,1756.29,2059.23,1584.79,3178.38,2403.54,10411.65,344.83,385.93
Zephyr Power Co Ltd,2018,Power,15467.22,1294.68,49677.93,27734.78,14915.06,6427.82,21802.3,1102.82,2062.27,1152.76,3308.83,2488.17,10658.99,1478.76,1066.46
Zephyr Power Co Ltd,2019,Power,14829.34,1783.46,49434.5,27867.81,9063.45,10973.47,30320.78,1491.83,2164.06,1147.38,3308.16,2515.99,8744.08,2810.07,1468.82
Zephyr Power Co Ltd,2020,Power,16395.74,1960.67,55840.43,35268.31,13420.47,9698.89,33088.07,1478.16,3114.97,1422.6,4963.83,4519.73,14203.92,2587.34,1005.7
Zephyr Power Co Ltd,2021,Power,16298.0,395.58,55963.99,43228.54,15306.32,16003.48,30633.38,1912.58,2579.12,2311.41,3708.3,3034.59,18351.77,2524.39,1865.15
Zephyr Power Co Ltd,2022,Power,17219.64,1886.71,57208.72,33709.66,10862.83,11098.63,24152.81,2125.56,2288.22,1135.18,3367.18,2962.17,14702.25,3082.12,309.8
Zephyr Power Co Ltd,2023,Power,20688.44,1520.67,62570.15,44729.82,12364.32,13613.97,34035.41,1824.11,2717.44,1814.79,4288.2,3039.88,18676.04,2758.43,938.32
Zephyr Power Co Ltd,2024,Power,19333.58,1919.18,65725.67,49232.52,16824.0,11734.85,37019.11,1184.31,3425.29,2960.36,4599.74,3702.82,19503.25,3897.55,1352.35
Quarry Power Systems Ltd,1989,Power,1267.25,140.46,4256.76,3281.54,1119.49,1016.96,2363.39,104.35,186.18,206.04,225.01,187.26,1371.35,3.08,80.5
Quarry Power Systems Ltd,1990,Power,1203.67,107.65,4749.7,2957.29,1027.08,789.34,2903.15,84.84,211.49,153.37,244.16,175.46,974.83,98.99,108.01
Quarry Power Systems Ltd,1991,Power,1374.56,150.84,4901.77,3273.81,1056.21,1196.47,2935.17,174.17,269.87,174.55,321.33,233.98,1413.58,221.23,194.98
Quarry Power Systems Ltd,1992,Power,1486.27,123.12,5443.82,4235.09,1579.73,1652.9,2905.16,169.89,233.87,226.74,354.18,311.61,1455.12,112.67,131.11
Quarry Power Systems Ltd,1993,Power,1531.37,114.69,5498.35,3975.74,1693.86,1360.6,2335.46,113.28,159.95,243.56,426.14,368.3,2000.66,39.54,132.28
Quarry Power Systems Ltd,1994,Power,1657.94,119.57,5691.02,4133.4,1649.88,1061.95,3260.34,138.15,291.34,165.54,389.5,271.31,1802.8,178.83,71.96
Quarry Power Systems Ltd,1995,Power,1684.67,215.32,6504.29,4318.57,1633.46,1194.26,3266.64,152.76,200.51,182.46,428.12,315.74,2013.4,84.65,226.13
Quarry Power Systems Ltd,1996,Power,1842.32,172.2,6261.96,4468.33,1163.37,1019.59,3808.85,218.83,335.13,201.59,333.35,225.95,1412.58,142.03,181.64
Quarry Power Systems Ltd,1997,Power,1878.62,147.12,6787.65,5259.69,2135.42,1714.02,3125.87,117.17,297.71,232.24,409.4,302.77,1684.28,218.03,153.16
Quarry Power Systems Ltd,1998,Power,2056.07,93.76,7312.26,4571.49,2083.01,1409.3,3140.85,159.59,200.65,281.65,416.52,301.03,2191.21,67.84,259.89
Quarry Power Systems Ltd,1999,Power,2294.44,242.33,7752.7,5349.73,1971.32,1506.89,3698.01,286.54,303.55,323.37,503.85,432.75,2143.56,48.18,212.2
Quarry Power Systems Ltd,2000,Power,2429.26,184.8,8466.78,4960.57,1668.5,1301.43,4598.98,331.65,317.07,280.39,544.35,516.51,1596.69,193.86,185.69
Quarry Power Systems Ltd,2001,Power,2426.37,201.58,8505.93,5301.19,1887.23,1784.38,4756.46,308.87,372.69,167.73,464.18,402.29,1958.78,431.49,50.93
Quarry Power Systems Ltd,2002,Power,2469.75,237.95,9404.67,7156.07,2079.93,1624.83,4374.63,202.32,308.58,437.25,425.25,381.4,3059.52,420.46,220.18
Quarry Power Systems Ltd,2003,Power,2738.31,252.88,9293.11,6623.31,2270.44,1940.18,5761.62,313.46,383.08,208.36,336.46,258.38,3152.36,380.5,330.42
Quarry Power Systems Ltd,2004,Power,2949.07,245.7,9576.16,6565.4,3057.1,2615.3,3882.91,238.87,378.98,389.65,792.69,672.8,2621.64,279.21,76.86
Quarry Power Systems Ltd,2005,Power,2730.57,119.35,11030.8,8358.91,3037.77,2944.6,6084.15,273.92,436.58,304.95,501.36,330.2,4520.16,628.89,310.42
Quarry Power Systems Ltd,2006,Power,2980.32,179.74,11051.73,7988.24,2601.61,2521.09,6315.45,197.05,457.68,483.28,824.19,727.52,3265.19,624.95,432.18
Quarry Power Systems Ltd,2007,Power,3544.28,301.46,12057.53,8272.48,2786.91,3147.13,6663.75,284.95,506.35,412.37,905.94,646.41,3456.83,246.21,303.92
Quarry Power Systems Ltd,2008,Power,3893.71,222.74,11996.22,9058.92,2943.63,2361.16,5952.63,412.24,555.61,406.7,960.92,698.41,4680.58,300.94,472.38
Quarry Power Systems Ltd,2009,Power,3424.71,195.8,12961.98,9138.66,2552.01,3372.54,7129.42,305.32,478.88,430.88,547.44,489.57,2762.82,567.14,388.57
Quarry Power Systems Ltd,2010,Power,4144.03,248.23,13810.17,10374.89,3594.63,3057.35,8339.78,383.03,534.44,412.35,851.8,699.57,4872.84,344.32,99.63
Quarry Power Systems Ltd,2011,Power,4555.48,260.06,15217.42,10509.2,4264.84,3779.7,8822.52,554.78,669.91,517.02,1128.29,1057.36,4863.11,681.47,478.6
Quarry Power Systems Ltd,2012,Power,4153.58,492.25,14820.58,11083.32,4665.37,3391.67,7446.48,539.25,720.41,367.04,873.48,594.6,4217.72,577.41,143.83
Quarry Power Systems Ltd,2013,Power,5180.24,358.37,16317.84,10043.38,5171.44,2320.14,7817.13,386.17,722.47,322.2,858.21,728.89,5191.2,398.14,560.3
Quarry Power Systems Ltd,2014,Power,4861.1,383.68,16576.42,10011.17,4578.2,2327.23,10028.72,347.06,944.94,332.9,726.96,484.54,3909.84,465.98,213.97
Quarry Power Systems Ltd,2015,Power,5094.03,523.07,18058.51,13999.7,5773.16,4010.49,7306.16,634.82,485.42,887.91,1355.71,1067.67,5498.66,630.72,580.31
Quarry Power Systems Ltd,2016,Power,5461.05,440.34,18730.67,14260.14,5642.37,3558.64,10307.73,442.83,778.13,704.52,1293.9,1158.6,6811.48,1084.98,456.51
Quarry Power Systems Ltd,2017,Power,5788.05,378.55,19198.38,13366.0,4674.55,3878.91,8848.78,464.11,564.12,727.21,1414.07,1000.88,5157.19,753.83,495.11
Quarry Power Systems Ltd,2018,Power,5817.21,479.38,21143.32,15215.85,4080.81,3819.06,12534.45,561.7,1148.73,562.92,1773.03,1502.99,6431.6,507.97,268.05
Quarry Power Systems Ltd,2019,Power,7111.29,495.15,23289.35,14106.99,6590.02,5253.42,9401.24,721.4,910.55,614.48,1540.38,1355.03,5734.49,730.08,234.42
Quarry Power Systems Ltd,2020,Power,7250.49,548.84,23185.42,14126.96,5237.21,4856.62,9834.25,453.49,743.93,476.79,1244.1,864.18,6813.73,755.38,250.33
Quarry Power Systems Ltd,2021,Power,7649.39,516.29,24498.11,17339.78,5501.63,5493.6,13021.21,691.47,1096.69,901.49,1428.89,1230.59,9324.12,1405.1,287.88
Quarry Power Systems Ltd,2022,Power,8150.54,550.82,25714.17,17770.91,7099.6,4083.97,15081.63,1056.9,1344.52,667.77,895.55,761.8,5366.66,605.35,832.05
Quarry Power Systems Ltd,2023,Power,9127.92,963.53,26457.46,18780.19,4943.29,4519.39,11199.77,977.94,1083.68,565.64,1808.88,1458.04,6018.4,931.21,670.69
Quarry Power Systems Ltd,2024,Power,9132.74,745.97,29886.81,21350.23,7617.43,5819.38,14239.12,634.67,872.39,1001.49,2191.3,2003.96,7979.36,331.17,629.04
Stratum Power Systems Industries,1989,Power,1841.23,126.0,4874.58,3335.1,1427.28,1066.9,2950.91,126.27,292.49,190.12,416.58,279.25,1383.45,284.14,125.74
Stratum Power Systems Industries,1990,Power,1969.76,159.65,4820.75,2912.31,1510.55,779.14,2649.41,164.93,182.62,93.03,472.1,427.43,1092.95,0.45,77.98
Stratum Power Systems Industries,1991,Power,1991.78,269.96,5242.12,3929.57,954.14,1259.99,3023.96,183.59,229.86,185.72,356.07,254.08,2026.55,290.83,26.78
Stratum Power Systems Industries,1992,Power,2088.49,178.21,5532.86,4038.03,1083.61,1419.91,2667.11,289.29,217.89,228.5,364.34,252.26,1671.17,70.48,125.35
Stratum Power Systems Industries,1993,Power,2340.34,191.6,5781.98,3947.77,1405.04,1443.16,3070.59,195.58,240.83,188.58,422.6,384.46,1917.74,95.61,40.14
Stratum Power Systems Industries,1994,Power,2451.42,180.4,6078.6,4590.49,1218.33,1144.65,3186.21,262.33,316.75,283.96,561.64,439.89,2385.85,113.2,231.27
Stratum Power Systems Industries,1995,Power,2208.39,109.99,6546.88,4513.81,1627.82,1186.43,3357.82,198.54,294.47,213.1,491.33,433.15,2052.63,222.39,246.16
Stratum Power Systems Industries,1996,Power,2565.34,160.76,7311.35,4877.44,1593.6,1848.46,4248.71,276.8,407.68,209.65,352.89,264.98,1957.18,293.43,65.54
Stratum Power Systems Industries,1997,Power,2887.09,269.02,7366.92,4213.13,1997.27,1140.18,3615.88,251.56,238.05,192.55,419.03,374.56,1965.61,412.83,288.72
Stratum Power Systems Industries,1998,Power,2929.37,192.33,7842.46,5502.45,2420.74,1619.79,4858.65,330.93,388.02,214.75,618.16,552.46,1796.05,260.9,271.67
Stratum Power Systems Industries,1999,Power,3013.91,378.43,8558.96,6478.76,2340.1,1639.26,4373.51,397.31,406.03,286.69,602.19,408.32,3311.0,301.65,266.79
Stratum Power Systems Industries,2000,Power,3418.91,356.68,8997.68,6152.33,2310.38,2210.82,4679.09,243.76,444.09,371.26,506.32,330.81,2691.52,341.18,59.36
Stratum Power Systems Industries,2001,Power,3349.98,395.81,8804.28,5689.98,1926.04,1411.56,5357.18,308.0,323.81,272.35,630.63,574.34,2117.86,153.43,167.24
Stratum Power Systems Industries,2002,Power,3449.25,331.45,9538.71,7330.49,2694.15,2107.05,5139.29,213.58,362.87,346.14,532.87,376.69,2332.26,534.09,169.76
Stratum Power Systems Industries,2003,Power,3828.53,392.49,9999.01,7583.77,2342.89,2712.72,5898.05,510.62,535.42,366.18,923.54,835.95,3207.69,356.57,347.86
Stratum Power Systems Industries,2004,Power,3655.22,520.82,11229.02,6687.07,2370.65,2497.6,4819.31,467.69,340.21,355.33,728.23,562.7,3555.55,150.01,270.11
Stratum Power Systems Industries,2005,Power,4235.69,332.75,11664.7,6969.96,2771.06,2300.59,6183.75,377.71,480.45,450.66,1137.3,784.82,3660.09,214.13,67.66
Stratum Power Systems Industries,2006,Power,4637.03,466.23,11826.34,8098.21,2436.67,2521.69,6758.54,590.52,406.9,339.46,1147.86,917.46,3245.68,373.1,442.71
Stratum Power Systems Industries,2007,Power,4555.77,460.82,12206.76,7933.77,2322.26,2088.24,5153.15,312.3,400.53,482.75,980.7,726.19,2793.26,471.62,121.01
Stratum Power Systems Industries,2008,Power,5209.01,382.92,13125.62,8115.83,3096.38,2181.26,5431.25,617.45,370.94,317.96,1041.33,689.53,3880.83,600.55,435.82
Stratum Power Systems Industries,2009,Power,4864.98,244.55,14029.09,10093.98,3412.24,3711.11,8182.86,420.88,655.78,539.95,1275.6,927.92,4350.54,811.91,549.04
Stratum Power Systems Industries,2010,Power,5388.32,571.24,14916.68,8269.22,3109.18,1854.73,7777.88,535.53,692.93,273.28,1515.04,1340.27,3505.85,66.7,297.78
Stratum Power Systems Industries,2011,Power,5613.77,609.93,15054.93,10873.12,4697.71,3026.38,8870.01,471.31,852.57,571.3,1228.63,887.54,4265.8,317.11,583.69
Stratum Power Systems Industries,2012,Power,6417.78,356.84,16248.94,11514.8,3392.31,3897.99,9554.82,772.83,575.41,661.04,1619.75,1327.18,4073.38,886.09,349.96
Stratum Power Systems Industries,2013,Power,6179.8,678.98,16485.26,11694.54,5062.12,4186.69,9659.84,589.53,747.63,576.19,1574.97,1307.62,6401.25,627.04,449.3
Stratum Power Systems Industries,2014,Power,7377.16,524.2,18294.55,13158.46,5293.76,4576.35,7319.38,914.93,451.49,844.22,1446.48,1128.14,4414.14,853.94,390.55
Stratum Power Systems Industries,2015,Power,7675.11,698.01,18577.6,14411.33,5578.96,3946.66,7926.89,544.69,496.7,605.67,1884.6,1584.03,4936.57,868.88,210.95
Stratum Power Systems Industries,2016,Power,8066.7,830.48,19799.93,15071.6,4351.68,4550.25,10551.57,785.15,729.05,921.76,2053.5,1566.27,5089.67,671.48,365.8
Stratum Power Systems Industries,2017,Power,8123.28,805.35,21284.64,14420.0,4148.71,5343.74,13014.05,646.64,1270.12,841.1,1686.37,1306.67,6853.4,978.33,798.81
Stratum Power Systems Industries,2018,Power,8623.63,870.68,22948.22,13221.58,4248.51,3585.11,13782.86,1037.28,991.04,447.34,2019.47,1361.4,6768.96,510.64,131.45
Stratum Power Systems Industries,2019,Power,9079.53,1157.99,25068.1,17215.83,7914.03,4887.64,14826.19,1017.91,1405.76,689.49,2642.69,2184.18,7158.7,971.8,939.85
Stratum Power Systems Industries,2020,Power,9693.67,911.51,25166.34,14597.68,6487.69,5469.74,14404.09,918.03,879.62,783.11,1600.01,1441.92,6636.88,266.08,531.77
Stratum Power Systems Industries,2021,Power,10847.56,785.87,26322.5,17676.75,7295.71,5575.54,13761.38,1005.14,1167.36,566.13,2452.19,2326.16,5563.11,1240.53,787.11
Stratum Power Systems Industries,2022,Power,10209.83,1001.76,27921.95,19204.06,7426.64,4620.13,12212.43,1222.13,811.47,844.0,2297.01,1761.11,7385.31,673.11,268.0
Stratum Power Systems Industries,2023,Power,11930.92,1143.44,28326.91,21595.98,5189.61,7181.57,14262.85,1166.24,1117.21,1218.77,2306.54,1621.51,8858.66,1603.71,160.11
Stratum Power Systems Industries,2024,Power,12788.37,1220.51,30757.81,23431.38,5730.24,6991.1,18916.07,1208.52,1690.86,1384.94,3521.79,2384.08,10439.16,1498.16,995.45
Wraith Generation Ltd Co,1989,Power,3706.3,302.6,10581.86,7797.76,2978.94,2969.78,5903.72,378.11,466.18,382.73,646.0,571.35,3797.95,11.82,80.87
Wraith Generation Ltd Co,1990,Power,4423.14,481.55,11397.16,7353.32,2614.17,2795.1,5098.92,274.14,479.35,255.66,765.99,696.04,3793.14,186.87,394.67
Wraith Generation Ltd Co,1991,Power,4491.48,523.07,11966.21,9086.81,3638.56,2971.65,5254.1,615.8,452.33,363.08,898.62,824.19,4206.39,266.54,314.9
Wraith Generation Ltd Co,1992,Power,5272.92,411.06,11828.09,8583.18,2161.61,2467.71,7315.19,394.97,441.57,279.57,1169.62,888.26,3208.75,79.59,395.26
Wraith Generation Ltd Co,1993,Power,5100.37,591.2,13413.05,8604.48,3275.59,2643.51,7762.75,505.83,482.06,299.56,1316.97,872.78,4558.78,237.87,265.13
Wraith Generation Ltd Co,1994,Power,5494.2,782.14,13233.94,9248.73,2639.57,2619.54,5677.08,766.28,476.28,289.92,1211.0,865.57,2966.01,735.28,183.73
Wraith Generation Ltd Co,1995,Power,5961.1,357.43,14908.6,9609.5,2757.64,3578.87,6734.23,761.69,432.04,504.54,1669.63,1545.56,4005.27,344.29,414.21
Wraith Generation Ltd Co,1996,Power,6055.03,477.61,15071.25,9403.36,4639.22,2780.66,6557.37,643.3,495.08,388.17,1266.57,988.2,3203.46,709.49,267.66
Wraith Generation Ltd Co,1997,Power,6720.82,464.77,16121.48,12501.58,3762.46,3680.64,9202.9,518.77,698.56,452.05,1376.37,1201.58,5795.23,940.65,233.58
Wraith Generation Ltd Co,1998,Power,6724.37,571.11,15973.33,11144.82,2962.94,2677.92,6463.68,843.27,441.39,456.28,1079.73,920.71,4821.74,321.34,537.21
Wraith Generation Ltd Co,1999,Power,6556.48,769.99,18799.05,12345.17,5938.43,4174.56,8719.41,688.35,631.2,426.81,1909.66,1410.58,5489.02,583.15,412.94
Wraith Generation Ltd Co,2000,Power,8391.64,778.14,17830.73,12642.36,4111.98,4661.28,7399.47,1059.03,674.33,808.45,2397.45,1778.59,4267.14,323.23,143.01
Wraith Generation Ltd Co,2001,Power,8149.18,705.01,20664.71,15982.93,5584.89,4717.85,8520.32,589.99,711.37,802.11,2454.58,2110.68,6502.53,1208.81,789.9
Wraith Generation Ltd Co,2002,Power,8232.83,1010.84,21052.78,13589.4,5121.15,3326.5,10495.87,704.97,700.99,712.19,1289.86,915.18,7065.39,704.48,453.28
Wraith Generation Ltd Co,2003,Power,8477.15,592.57,22532.12,17174.73,4971.14,4477.48,11919.39,555.15,1083.51,731.24,1783.55,1671.62,6876.63,496.47,698.17
Wraith Generation Ltd Co,2004,Power,9851.06,464.01,23546.52,15146.15,4338.8,5341.26,14157.41,682.04,1330.17,542.28,2294.5,2071.08,4757.3,1349.37,449.14
Wraith Generation Ltd Co,2005,Power,11042.35,686.07,25497.4,19718.39,7215.07,7112.78,13888.34,1243.5,851.75,761.85,1998.75,1729.5,9154.89,1348.97,326.31
Wraith Generation Ltd Co,2006,Power,11260.86,1182.73,25640.44,19473.03,6264.44,5757.1,12747.73,1043.12,1204.02,1259.1,1129.41,853.21,7594.96,293.49,266.1
Wraith Generation Ltd Co,2007,Power,11222.21,464.7,28666.33,21842.03,7556.07,6254.36,15599.44,1569.91,1393.01,1158.1,2619.19,2294.71,9411.45,598.27,992.93
Wraith Generation Ltd Co,2008,Power,11135.03,792.33,28842.33,18286.36,7700.24,5459.62,13394.01,1533.06,1154.15,721.48,2193.66,1599.69,8415.48,799.48,728.73
Wraith Generation Ltd Co,2009,Power,12333.35,927.38,30077.65,22979.93,8713.59,7592.75,14279.39,1206.96,1037.57,902.11,3330.2,3159.44,8818.16,467.87,694.92
Wraith Generation Ltd Co,2010,Power,14711.44,1160.61,31641.84,21887.84,7587.5,6166.45,18249.31,1268.65,1184.28,1139.55,2975.23,2788.41,8507.27,884.77,533.18
Wraith Generation Ltd Co,2011,Power,14539.13,937.52,32049.87,19187.66,6540.76,5700.76,15130.33,1939.02,1023.74,1242.82,3756.98,3296.08,9029.92,1662.54,536.15
Wraith Generation Ltd Co,2012,Power,14584.32,1046.78,34794.35,20917.15,9025.72,6109.24,15212.8,1096.83,1251.43,1238.39,3497.51,2761.81,6632.09,125.96,988.08
Wraith Generation Ltd Co,2013,Power,15326.25,1025.56,37513.96,28924.23,9825.11,6534.01,18197.83,1487.93,1667.39,1698.39,3361.02,2971.84,12673.71,655.54,580.5
Wraith Generation Ltd Co,2014,Power,17500.34,2070.65,40434.25,23192.94,9537.46,8401.38,17859.12,1188.42,1402.56,1435.6,2772.71,2628.9,11033.64,2020.66,890.29
Wraith Generation Ltd Co,2015,Power,17186.18,1842.8,42328.77,27734.78,7814.01,11056.89,22996.49,1482.19,2072.75,860.61,4016.15,3331.64,11882.94,1633.87,308.35
Wraith Generation Ltd Co,2016,Power,20172.95,302.59,42248.53,32928.84,9124.05,9476.77,25630.05,2556.1,2347.15,1214.57,3342.4,2789.72,12504.7,2085.64,1490.73
Wraith Generation Ltd Co,2017,Power,19803.02,2171.88,47081.89,32095.7,14115.33,7295.28,26828.93,2143.09,2647.98,1090.08,6336.97,5399.66,12091.29,23.29,446.78
Wraith Generation Ltd Co,2018,Power,21512.12,1873.48,49360.0,28132.88,15474.89,10589.87,20843.71,1701.16,1471.2,1683.63,4579.98,3972.24,12920.86,466.51,253.45
Wraith Generation Ltd Co,2019,Power,22472.03,1713.0,50352.46,37146.82,14829.8,9075.67,28287.4,2708.76,2745.06,2374.03,4810.16,3591.07,12509.42,768.93,1422.95
Wraith Generation Ltd Co,2020,Power,23298.75,1563.15,55745.59,35183.19,12638.7,10547.0,24554.22,3024.04,1776.68,1062.16,5563.74,4343.63,12292.21,2278.78,568.14
Wraith Generation Ltd Co,2021,Power,24386.43,2186.12,55266.89,36031.46,10159.59,11465.56,25537.14,2340.27,2509.89,1224.42,3313.44,2398.94,16912.37,1604.79,1979.27
